,July 2005 est. pop,2005 rank,ZIP code
Greensboro,"231,962",77,27420
Raleigh,"341,530",53,27613
Winston-Salem,"193,755",109,27102
Ohio,,,
Akron,"210,795",89,44309
Cincinnati,"308,728",58,45225
Cleveland,"452,208",39,44101
Columbus,"730,657",15,43216
Dayton,"158,873",140,45401
Toledo,"301,285",59,43601
Oklahoma,,,
Norman,"101,719",247,73019
Oklahoma City,"531,324",31,73125
Tulsa,"382,457",46,74107
Oregon,,,
Eugene,"144,515",156,97401
Portland,"533,427",30,97208
Salem,"148,751",152,97309
Pennsylvania,,,
Allentown,"106,992",226,18101
Erie,"102,612",245,16515
Philadelphia,"1,463,281",5,19104
Pittsburgh,"316,718",57,15290
Rhode Island,,,
Providence,"176,862",124,2904
South Carolina,,,
Charleston,"106,712",227,29401
Columbia,"117,088",202,29201
South Dakota,,,
Sioux Falls,"139,517",167,57104
Tennessee,,,
Chattanooga,"154,762",143,37421
Clarksville,"112,878",211,37043
Knoxville,"180,130",119,37950
Memphis,"672,277",17,38101
Nashville-Davidson6,"549,110",28,37230
Texas,,,
Abilene,"114,757",206,79604
Amarillo,"183,021",118,79120
Arlington,"362,805",50,76004
Austin,"690,252",16,78710
Beaumont,"111,799",215,77707
Brownsville,"167,493",132,78520
Carrollton,"118,870",197,75006
Corpus Christi,"283,474",64,78469
Dallas,"1,213,825",9,75260
Denton,"104,153",238,76201
El Paso,"598,590",21,79910
Fort Worth,"624,067",19,76161
Garland,"216,346",86,75040
Grand Prairie,"144,337",157,75051
Houston,"2,016,582",4,77201
Irving,"193,649",110,75061
Killeen,"100,233",252,76541
Laredo,"208,754",92,78041
Lubbock,"209,737",91,79402
McAllen,"123,622",190,78501
Mesquite,"129,902",180,75149
Pasadena,"143,852",159,77501
Plano,"250,096",70,75074
San Antonio,"1,256,509",7,78284
Waco,"120,465",195,76702
Utah,,,
Salt Lake City,"178,097",122,84199
West Valley City,"113,300",209,84199
Virginia,,,
Alexandria,"135,337",171,22314
Arlington CDP,"195,965",103,23320
Chesapeake,"218,968",85,23670
Hampton,"145,579",155,23607
Newport News,"179,899",120,23501
Norfolk,"231,954",78,23707
Portsmouth,"100,169",253,23702
Richmond,"193,777",108,23232
Virginia Beach,"438,415",42,23450
Washington,,,
Bellevue,"117,137",201,98009
Seattle,"573,911",23,98108
Spokane,"196,818",101,99201
Tacoma,"195,898",104,98413
Vancouver,"157,493",142,98668
Wisconsin,,,
Green Bay,"101,203",248,54303
Madison,"221,551",83,53714
Milwaukee,"578,887",22,53203
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
